x,y,region,zoom
174.994874,-41.154693,All,10
175.0038244,-40.91567297,Kapiti Coast,11
174.8693292,-41.08264776,Porirua North,11
174.8390956,-41.13376995,Porirua CBD,13
174.8357642,-41.10830986,Titahi Bay,13
174.8248219,-41.17145012,Tawa,13
174.880679,-41.12296553,Porirua East,12
174.8072823,-41.22352672,Johnsonville,13
174.7730716,-41.25047533,Wellington Western Suburbs,13
174.7375716,-41.28469628,Karori,13
174.7789661,-41.28171378,Wellington RORO & CBD,13
174.7787235,-41.30981121,Newtown,12
174.7479376,-41.33103144,Wellington Southern Suburbs,11
174.8076939,-41.32447527,Wellington Airport,13
174.8165547,-41.31643558,Miramar,13
174.872834,-41.22365418,Petone,13
174.9031729,-41.21180875,Lower Hutt,12
174.9095827,-41.24459729,Seaview Fuel Terminal,13
174.8970979,-41.29233849,Eastbourne,13
174.943846,-41.26165747,Wainuiomata,11
174.8817355,-41.20189879,Western Hutt Hills,12
175.0682483,-41.12575994,Upper Hutt,10
174.9822697,-41.17348703,Stokes Valley,13
175.2141515,-40.7184732,Levin,13
175.2470354,-41.11098841,Wairarapa,13
